Myofibroblasts,WNT2B+Fos-hi,WNT2B+Fos-lo1,WNT2B+Fos-lo2,RSPO3+,WNT5B+1,WNT5B+2,Inflammatory_Fibroblasts,Endothelial,Microvascular,Post-capillary_Venules,Pericytes
HMG20B,,,,,FBXW7,,,EDN1,SCARB1,TPD52L1,
TEAD3,,,,,GDF15,,,EFNB2,PGS1,HLA-DMA,
RP11-379B18.5,,,,,,,,SSUH2,MICALL1,TNFSF10,
MBNL1-AS1,,,,,,,,SRP14,TP53I11,WARS,
,,,,,,,,,SETD4,FAM213A,
,,,,,,,,,MPV17L2,CCDC85B,
,,,,,,,,,,SOCS3,
,,,,,,,,,,A2M,
,,,,,,,,,,DUSP23,
,,,,,,,,,,SYT15,
,,,,,,,,,,ZSCAN31,
,,,,,,,,,,PRCP,
,,,,,,,,,,PRKAR1B,
,,,,,,,,,,SEMA6A,
,,,,,,,,,,CITED4,
,,,,,,,,,,LPCAT4,
,,,,,,,,,,IFIH1,
,,,,,,,,,,KIAA1683,
,,,,,,,,,,NR5A2,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
